geography,geography_name,date,cpih_annual_rate
K02000001,United Kingdom,1993-Q3,2.5
K02000001,United Kingdom,1993-Q4,2.2
K02000001,United Kingdom,1994-Q1,2.4
K02000001,United Kingdom,1994-Q2,2.4
K02000001,United Kingdom,1994-Q3,2.1
K02000001,United Kingdom,1994-Q4,2.1
K02000001,United Kingdom,1995-Q1,2.4
K02000001,United Kingdom,1995-Q2,2.5
K02000001,United Kingdom,1995-Q3,2.9
K02000001,United Kingdom,1995-Q4,3.0
K02000001,United Kingdom,1996-Q1,3.0
K02000001,United Kingdom,1996-Q2,2.8
K02000001,United Kingdom,1996-Q3,2.7
K02000001,United Kingdom,1996-Q4,2.9
K02000001,United Kingdom,1997-Q1,2.4
K02000001,United Kingdom,1997-Q2,2.1
K02000001,United Kingdom,1997-Q3,2.3
K02000001,United Kingdom,1997-Q4,2.1
K02000001,United Kingdom,1998-Q1,1.8
K02000001,United Kingdom,1998-Q2,2.0
K02000001,United Kingdom,1998-Q3,1.7
K02000001,United Kingdom,1998-Q4,1.7
K02000001,United Kingdom,1999-Q1,2.0
K02000001,United Kingdom,1999-Q2,1.8
K02000001,United Kingdom,1999-Q3,1.6
K02000001,United Kingdom,1999-Q4,1.5
K02000001,United Kingdom,2000-Q1,1.1
K02000001,United Kingdom,2000-Q2,1.0
K02000001,United Kingdom,2000-Q3,1.2
K02000001,United Kingdom,2000-Q4,1.4
K02000001,United Kingdom,2001-Q1,1.3
K02000001,United Kingdom,2001-Q2,1.8
K02000001,United Kingdom,2001-Q3,1.8
K02000001,United Kingdom,2001-Q4,1.4
K02000001,United Kingdom,2002-Q1,1.7
K02000001,United Kingdom,2002-Q2,1.3
K02000001,United Kingdom,2002-Q3,1.3
K02000001,United Kingdom,2002-Q4,1.6
K02000001,United Kingdom,2003-Q1,1.5
K02000001,United Kingdom,2003-Q2,1.3
K02000001,United Kingdom,2003-Q3,1.4
K02000001,United Kingdom,2003-Q4,1.3
K02000001,United Kingdom,2004-Q1,1.3
K02000001,United Kingdom,2004-Q2,1.3
K02000001,United Kingdom,2004-Q3,1.3
K02000001,United Kingdom,2004-Q4,1.5
K02000001,United Kingdom,2005-Q1,1.8
K02000001,United Kingdom,2005-Q2,1.9
K02000001,United Kingdom,2005-Q3,2.4
K02000001,United Kingdom,2005-Q4,2.2
K02000001,United Kingdom,2006-Q1,2.1
K02000001,United Kingdom,2006-Q2,2.4
K02000001,United Kingdom,2006-Q3,2.5
K02000001,United Kingdom,2006-Q4,2.7
K02000001,United Kingdom,2007-Q1,2.8
K02000001,United Kingdom,2007-Q2,2.6
K02000001,United Kingdom,2007-Q3,2.0
K02000001,United Kingdom,2007-Q4,2.3
K02000001,United Kingdom,2008-Q1,2.5
K02000001,United Kingdom,2008-Q2,3.3
K02000001,United Kingdom,2008-Q3,4.5
K02000001,United Kingdom,2008-Q4,3.7
K02000001,United Kingdom,2009-Q1,2.9
K02000001,United Kingdom,2009-Q2,2.0
K02000001,United Kingdom,2009-Q3,1.4
K02000001,United Kingdom,2009-Q4,1.6
K02000001,United Kingdom,2010-Q1,2.4
K02000001,United Kingdom,2010-Q2,2.5
K02000001,United Kingdom,2010-Q3,2.3
K02000001,United Kingdom,2010-Q4,2.7
K02000001,United Kingdom,2011-Q1,3.5
K02000001,United Kingdom,2011-Q2,3.8
K02000001,United Kingdom,2011-Q3,4.0
K02000001,United Kingdom,2011-Q4,4.0
K02000001,United Kingdom,2012-Q1,3.1
K02000001,United Kingdom,2012-Q2,2.5
K02000001,United Kingdom,2012-Q3,2.2
K02000001,United Kingdom,2012-Q4,2.4
K02000001,United Kingdom,2013-Q1,2.5
K02000001,United Kingdom,2013-Q2,2.4
K02000001,United Kingdom,2013-Q3,2.4
K02000001,United Kingdom,2013-Q4,1.9
K02000001,United Kingdom,2014-Q1,1.6
K02000001,United Kingdom,2014-Q2,1.6
K02000001,United Kingdom,2014-Q3,1.5
K02000001,United Kingdom,2014-Q4,1.1
K02000001,United Kingdom,2015-Q1,0.4
K02000001,United Kingdom,2015-Q2,0.3
K02000001,United Kingdom,2015-Q3,0.4
K02000001,United Kingdom,2015-Q4,0.4
K02000001,United Kingdom,2016-Q1,0.7
K02000001,United Kingdom,2016-Q2,0.7
K02000001,United Kingdom,2016-Q3,1.0
K02000001,United Kingdom,2016-Q4,1.5
K02000001,United Kingdom,2017-Q1,2.2
K02000001,United Kingdom,2017-Q2,2.6
K02000001,United Kingdom,2017-Q3,2.7
K02000001,United Kingdom,2017-Q4,2.8
K02000001,United Kingdom,2018-Q1,2.5
K02000001,United Kingdom,2018-Q2,2.2
K02000001,United Kingdom,2018-Q3,2.3
K02000001,United Kingdom,2018-Q4,2.1
K02000001,United Kingdom,2019-Q1,1.8
K02000001,United Kingdom,2019-Q2,2.0
K02000001,United Kingdom,2019-Q3,1.8
K02000001,United Kingdom,2019-Q4,1.4
K02000001,United Kingdom,2020-Q1,1.7
K02000001,United Kingdom,2020-Q2,0.8
K02000001,United Kingdom,2020-Q3,0.8
K02000001,United Kingdom,2020-Q4,0.8
K02000001,United Kingdom,2021-Q1,0.9
K02000001,United Kingdom,2021-Q2,2.1
K02000001,United Kingdom,2021-Q3,2.7
K02000001,United Kingdom,2021-Q4,4.4
K02000001,United Kingdom,2022-Q1,5.5
K02000001,United Kingdom,2022-Q2,7.9
K02000001,United Kingdom,2022-Q3,8.7
K02000001,United Kingdom,2022-Q4,9.4
K02000001,United Kingdom,2023-Q1,9.0
K02000001,United Kingdom,2023-Q2,7.7
K02000001,United Kingdom,2023-Q3,6.3
K02000001,United Kingdom,1989-01,5.7
K02000001,United Kingdom,1989-02,5.8
K02000001,United Kingdom,1989-03,5.9
K02000001,United Kingdom,1989-04,5.6
K02000001,United Kingdom,1989-05,5.9
K02000001,United Kingdom,1989-06,5.8
K02000001,United Kingdom,1989-07,5.7
K02000001,United Kingdom,1989-08,5.5
K02000001,United Kingdom,1989-09,5.7
K02000001,United Kingdom,1989-10,5.8
K02000001,United Kingdom,1989-11,5.7
K02000001,United Kingdom,1989-12,5.8
K02000001,United Kingdom,1990-01,5.9
K02000001,United Kingdom,1990-02,6.3
K02000001,United Kingdom,1990-03,6.2
K02000001,United Kingdom,1990-04,7.7
K02000001,United Kingdom,1990-05,8.2
K02000001,United Kingdom,1990-06,8.2
K02000001,United Kingdom,1990-07,8.2
K02000001,United Kingdom,1990-08,8.9
K02000001,United Kingdom,1990-09,9.2
K02000001,United Kingdom,1990-10,9.2
K02000001,United Kingdom,1990-11,9.2
K02000001,United Kingdom,1990-12,9.2
K02000001,United Kingdom,1991-01,8.6
K02000001,United Kingdom,1991-02,8.2
K02000001,United Kingdom,1991-03,8.3
K02000001,United Kingdom,1991-04,8.0
K02000001,United Kingdom,1991-05,7.5
K02000001,United Kingdom,1991-06,7.7
K02000001,United Kingdom,1991-07,7.5
K02000001,United Kingdom,1991-08,7.5
K02000001,United Kingdom,1991-09,6.9
K02000001,United Kingdom,1991-10,6.5
K02000001,United Kingdom,1991-11,6.5
K02000001,United Kingdom,1991-12,6.5
K02000001,United Kingdom,1992-01,6.2
K02000001,United Kingdom,1992-02,6.3
K02000001,United Kingdom,1992-03,6.2
K02000001,United Kingdom,1992-04,5.2
K02000001,United Kingdom,1992-05,5.1
K02000001,United Kingdom,1992-06,4.6
K02000001,United Kingdom,1992-07,4.5
K02000001,United Kingdom,1992-08,3.7
K02000001,United Kingdom,1992-09,3.7
K02000001,United Kingdom,1992-10,3.5
K02000001,United Kingdom,1992-11,3.3
K02000001,United Kingdom,1992-12,3.2
K02000001,United Kingdom,1993-01,3.0
K02000001,United Kingdom,1993-02,3.1
K02000001,United Kingdom,1993-03,3.2
K02000001,United Kingdom,1993-04,2.6
K02000001,United Kingdom,1993-05,2.3
K02000001,United Kingdom,1993-06,2.2
K02000001,United Kingdom,1993-07,2.3
K02000001,United Kingdom,1993-08,2.6
K02000001,United Kingdom,1993-09,2.7
K02000001,United Kingdom,1993-10,2.4
K02000001,United Kingdom,1993-11,2.1
K02000001,United Kingdom,1993-12,2.3
K02000001,United Kingdom,1994-01,2.6
K02000001,United Kingdom,1994-02,2.4
K02000001,United Kingdom,1994-03,2.2
K02000001,United Kingdom,1994-04,2.4
K02000001,United Kingdom,1994-05,2.4
K02000001,United Kingdom,1994-06,2.3
K02000001,United Kingdom,1994-07,2.1
K02000001,United Kingdom,1994-08,2.2
K02000001,United Kingdom,1994-09,1.9
K02000001,United Kingdom,1994-10,1.8
K02000001,United Kingdom,1994-11,2.1
K02000001,United Kingdom,1994-12,2.2
K02000001,United Kingdom,1995-01,2.4
K02000001,United Kingdom,1995-02,2.3
K02000001,United Kingdom,1995-03,2.4
K02000001,United Kingdom,1995-04,2.3
K02000001,United Kingdom,1995-05,2.6
K02000001,United Kingdom,1995-06,2.7
K02000001,United Kingdom,1995-07,2.8
K02000001,United Kingdom,1995-08,2.7
K02000001,United Kingdom,1995-09,3.0
K02000001,United Kingdom,1995-10,3.0
K02000001,United Kingdom,1995-11,2.9
K02000001,United Kingdom,1995-12,3.1
K02000001,United Kingdom,1996-01,2.9
K02000001,United Kingdom,1996-02,3.0
K02000001,United Kingdom,1996-03,3.0
K02000001,United Kingdom,1996-04,2.8
K02000001,United Kingdom,1996-05,2.8
K02000001,United Kingdom,1996-06,2.8
K02000001,United Kingdom,1996-07,2.7
K02000001,United Kingdom,1996-08,2.7
K02000001,United Kingdom,1996-09,2.7
K02000001,United Kingdom,1996-10,3.0
K02000001,United Kingdom,1996-11,3.1
K02000001,United Kingdom,1996-12,2.8
K02000001,United Kingdom,1997-01,2.6
K02000001,United Kingdom,1997-02,2.4
K02000001,United Kingdom,1997-03,2.2
K02000001,United Kingdom,1997-04,2.1
K02000001,United Kingdom,1997-05,2.1
K02000001,United Kingdom,1997-06,2.1
K02000001,United Kingdom,1997-07,2.4
K02000001,United Kingdom,1997-08,2.3
K02000001,United Kingdom,1997-09,2.2
K02000001,United Kingdom,1997-10,2.2
K02000001,United Kingdom,1997-11,2.1
K02000001,United Kingdom,1997-12,1.9
K02000001,United Kingdom,1998-01,1.8
K02000001,United Kingdom,1998-02,1.8
K02000001,United Kingdom,1998-03,1.9
K02000001,United Kingdom,1998-04,2.1
K02000001,United Kingdom,1998-05,2.2
K02000001,United Kingdom,1998-06,1.9
K02000001,United Kingdom,1998-07,1.7
K02000001,United Kingdom,1998-08,1.6
K02000001,United Kingdom,1998-09,1.7
K02000001,United Kingdom,1998-10,1.6
K02000001,United Kingdom,1998-11,1.7
K02000001,United Kingdom,1998-12,1.9
K02000001,United Kingdom,1999-01,2.0
K02000001,United Kingdom,1999-02,1.9
K02000001,United Kingdom,1999-03,2.1
K02000001,United Kingdom,1999-04,2.0
K02000001,United Kingdom,1999-05,1.7
K02000001,United Kingdom,1999-06,1.8
K02000001,United Kingdom,1999-07,1.7
K02000001,United Kingdom,1999-08,1.6
K02000001,United Kingdom,1999-09,1.6
K02000001,United Kingdom,1999-10,1.5
K02000001,United Kingdom,1999-11,1.5
K02000001,United Kingdom,1999-12,1.5
K02000001,United Kingdom,2000-01,1.2
K02000001,United Kingdom,2000-02,1.2
K02000001,United Kingdom,2000-03,1.0
K02000001,United Kingdom,2000-04,0.9
K02000001,United Kingdom,2000-05,1.0
K02000001,United Kingdom,2000-06,1.2
K02000001,United Kingdom,2000-07,1.2
K02000001,United Kingdom,2000-08,1.0
K02000001,United Kingdom,2000-09,1.3
K02000001,United Kingdom,2000-10,1.4
K02000001,United Kingdom,2000-11,1.5
K02000001,United Kingdom,2000-12,1.2
K02000001,United Kingdom,2001-01,1.2
K02000001,United Kingdom,2001-02,1.2
K02000001,United Kingdom,2001-03,1.3
K02000001,United Kingdom,2001-04,1.5
K02000001,United Kingdom,2001-05,1.9
K02000001,United Kingdom,2001-06,1.9
K02000001,United Kingdom,2001-07,1.7
K02000001,United Kingdom,2001-08,2.1
K02000001,United Kingdom,2001-09,1.7
K02000001,United Kingdom,2001-10,1.6
K02000001,United Kingdom,2001-11,1.2
K02000001,United Kingdom,2001-12,1.4
K02000001,United Kingdom,2002-01,1.8
K02000001,United Kingdom,2002-02,1.7
K02000001,United Kingdom,2002-03,1.7
K02000001,United Kingdom,2002-04,1.6
K02000001,United Kingdom,2002-05,1.2
K02000001,United Kingdom,2002-06,1.1
K02000001,United Kingdom,2002-07,1.4
K02000001,United Kingdom,2002-08,1.3
K02000001,United Kingdom,2002-09,1.2
K02000001,United Kingdom,2002-10,1.5
K02000001,United Kingdom,2002-11,1.6
K02000001,United Kingdom,2002-12,1.7
K02000001,United Kingdom,2003-01,1.4
K02000001,United Kingdom,2003-02,1.6
K02000001,United Kingdom,2003-03,1.6
K02000001,United Kingdom,2003-04,1.5
K02000001,United Kingdom,2003-05,1.3
K02000001,United Kingdom,2003-06,1.2
K02000001,United Kingdom,2003-07,1.3
K02000001,United Kingdom,2003-08,1.4
K02000001,United Kingdom,2003-09,1.3
K02000001,United Kingdom,2003-10,1.3
K02000001,United Kingdom,2003-11,1.3
K02000001,United Kingdom,2003-12,1.3
K02000001,United Kingdom,2004-01,1.5
K02000001,United Kingdom,2004-02,1.4
K02000001,United Kingdom,2004-03,1.2
K02000001,United Kingdom,2004-04,1.1
K02000001,United Kingdom,2004-05,1.4
K02000001,United Kingdom,2004-06,1.5
K02000001,United Kingdom,2004-07,1.4
K02000001,United Kingdom,2004-08,1.4
K02000001,United Kingdom,2004-09,1.2
K02000001,United Kingdom,2004-10,1.3
K02000001,United Kingdom,2004-11,1.5
K02000001,United Kingdom,2004-12,1.8
K02000001,United Kingdom,2005-01,1.7
K02000001,United Kingdom,2005-02,1.7
K02000001,United Kingdom,2005-03,2.0
K02000001,United Kingdom,2005-04,1.9
K02000001,United Kingdom,2005-05,1.9
K02000001,United Kingdom,2005-06,2.0
K02000001,United Kingdom,2005-07,2.3
K02000001,United Kingdom,2005-08,2.4
K02000001,United Kingdom,2005-09,2.5
K02000001,United Kingdom,2005-10,2.4
K02000001,United Kingdom,2005-11,2.2
K02000001,United Kingdom,2005-12,2.1
K02000001,United Kingdom,2006-01,2.2
K02000001,United Kingdom,2006-02,2.2
K02000001,United Kingdom,2006-03,2.0
K02000001,United Kingdom,2006-04,2.2
K02000001,United Kingdom,2006-05,2.4
K02000001,United Kingdom,2006-06,2.6
K02000001,United Kingdom,2006-07,2.5
K02000001,United Kingdom,2006-08,2.6
K02000001,United Kingdom,2006-09,2.5
K02000001,United Kingdom,2006-10,2.5
K02000001,United Kingdom,2006-11,2.8
K02000001,United Kingdom,2006-12,2.9
K02000001,United Kingdom,2007-01,2.7
K02000001,United Kingdom,2007-02,2.7
K02000001,United Kingdom,2007-03,2.9
K02000001,United Kingdom,2007-04,2.7
K02000001,United Kingdom,2007-05,2.5
K02000001,United Kingdom,2007-06,2.5
K02000001,United Kingdom,2007-07,2.0
K02000001,United Kingdom,2007-08,2.0
K02000001,United Kingdom,2007-09,2.0
K02000001,United Kingdom,2007-10,2.3
K02000001,United Kingdom,2007-11,2.2
K02000001,United Kingdom,2007-12,2.3
K02000001,United Kingdom,2008-01,2.4
K02000001,United Kingdom,2008-02,2.6
K02000001,United Kingdom,2008-03,2.6
K02000001,United Kingdom,2008-04,3.0
K02000001,United Kingdom,2008-05,3.3
K02000001,United Kingdom,2008-06,3.7
K02000001,United Kingdom,2008-07,4.2
K02000001,United Kingdom,2008-08,4.4
K02000001,United Kingdom,2008-09,4.8
K02000001,United Kingdom,2008-10,4.2
K02000001,United Kingdom,2008-11,3.8
K02000001,United Kingdom,2008-12,3.0
K02000001,United Kingdom,2009-01,2.9
K02000001,United Kingdom,2009-02,3.1
K02000001,United Kingdom,2009-03,2.8
K02000001,United Kingdom,2009-04,2.3
K02000001,United Kingdom,2009-05,2.1
K02000001,United Kingdom,2009-06,1.7
K02000001,United Kingdom,2009-07,1.6
K02000001,United Kingdom,2009-08,1.4
K02000001,United Kingdom,2009-09,1.0
K02000001,United Kingdom,2009-10,1.2
K02000001,United Kingdom,2009-11,1.5
K02000001,United Kingdom,2009-12,2.1
K02000001,United Kingdom,2010-01,2.6
K02000001,United Kingdom,2010-02,2.1
K02000001,United Kingdom,2010-03,2.4
K02000001,United Kingdom,2010-04,2.7
K02000001,United Kingdom,2010-05,2.5
K02000001,United Kingdom,2010-06,2.4
K02000001,United Kingdom,2010-07,2.3
K02000001,United Kingdom,2010-08,2.4
K02000001,United Kingdom,2010-09,2.4
K02000001,United Kingdom,2010-10,2.5
K02000001,United Kingdom,2010-11,2.6
K02000001,United Kingdom,2010-12,3.1
K02000001,United Kingdom,2011-01,3.4
K02000001,United Kingdom,2011-02,3.7
K02000001,United Kingdom,2011-03,3.5
K02000001,United Kingdom,2011-04,3.8
K02000001,United Kingdom,2011-05,3.8
K02000001,United Kingdom,2011-06,3.6
K02000001,United Kingdom,2011-07,3.8
K02000001,United Kingdom,2011-08,3.9
K02000001,United Kingdom,2011-09,4.5
K02000001,United Kingdom,2011-10,4.3
K02000001,United Kingdom,2011-11,4.1
K02000001,United Kingdom,2011-12,3.7
K02000001,United Kingdom,2012-01,3.2
K02000001,United Kingdom,2012-02,3.1
K02000001,United Kingdom,2012-03,3.1
K02000001,United Kingdom,2012-04,2.8
K02000001,United Kingdom,2012-05,2.5
K02000001,United Kingdom,2012-06,2.3
K02000001,United Kingdom,2012-07,2.4
K02000001,United Kingdom,2012-08,2.3
K02000001,United Kingdom,2012-09,2.1
K02000001,United Kingdom,2012-10,2.4
K02000001,United Kingdom,2012-11,2.4
K02000001,United Kingdom,2012-12,2.4
K02000001,United Kingdom,2013-01,2.4
K02000001,United Kingdom,2013-02,2.5
K02000001,United Kingdom,2013-03,2.5
K02000001,United Kingdom,2013-04,2.2
K02000001,United Kingdom,2013-05,2.4
K02000001,United Kingdom,2013-06,2.6
K02000001,United Kingdom,2013-07,2.5
K02000001,United Kingdom,2013-08,2.4
K02000001,United Kingdom,2013-09,2.4
K02000001,United Kingdom,2013-10,2.0
K02000001,United Kingdom,2013-11,1.9
K02000001,United Kingdom,2013-12,1.9
K02000001,United Kingdom,2014-01,1.8
K02000001,United Kingdom,2014-02,1.6
K02000001,United Kingdom,2014-03,1.5
K02000001,United Kingdom,2014-04,1.7
K02000001,United Kingdom,2014-05,1.5
K02000001,United Kingdom,2014-06,1.8
K02000001,United Kingdom,2014-07,1.6
K02000001,United Kingdom,2014-08,1.5
K02000001,United Kingdom,2014-09,1.3
K02000001,United Kingdom,2014-10,1.3
K02000001,United Kingdom,2014-11,1.1
K02000001,United Kingdom,2014-12,0.7
K02000001,United Kingdom,2015-01,0.5
K02000001,United Kingdom,2015-02,0.4
K02000001,United Kingdom,2015-03,0.3
K02000001,United Kingdom,2015-04,0.3
K02000001,United Kingdom,2015-05,0.4
K02000001,United Kingdom,2015-06,0.3
K02000001,United Kingdom,2015-07,0.5
K02000001,United Kingdom,2015-08,0.4
K02000001,United Kingdom,2015-09,0.2
K02000001,United Kingdom,2015-10,0.2
K02000001,United Kingdom,2015-11,0.4
K02000001,United Kingdom,2015-12,0.5
K02000001,United Kingdom,2016-01,0.6
K02000001,United Kingdom,2016-02,0.6
K02000001,United Kingdom,2016-03,0.8
K02000001,United Kingdom,2016-04,0.7
K02000001,United Kingdom,2016-05,0.7
K02000001,United Kingdom,2016-06,0.8
K02000001,United Kingdom,2016-07,0.9
K02000001,United Kingdom,2016-08,1.0
K02000001,United Kingdom,2016-09,1.3
K02000001,United Kingdom,2016-10,1.3
K02000001,United Kingdom,2016-11,1.5
K02000001,United Kingdom,2016-12,1.8
K02000001,United Kingdom,2017-01,1.9
K02000001,United Kingdom,2017-02,2.3
K02000001,United Kingdom,2017-03,2.3
K02000001,United Kingdom,2017-04,2.6
K02000001,United Kingdom,2017-05,2.7
K02000001,United Kingdom,2017-06,2.6
K02000001,United Kingdom,2017-07,2.6
K02000001,United Kingdom,2017-08,2.7
K02000001,United Kingdom,2017-09,2.8
K02000001,United Kingdom,2017-10,2.8
K02000001,United Kingdom,2017-11,2.8
K02000001,United Kingdom,2017-12,2.7
K02000001,United Kingdom,2018-01,2.7
K02000001,United Kingdom,2018-02,2.5
K02000001,United Kingdom,2018-03,2.3
K02000001,United Kingdom,2018-04,2.2
K02000001,United Kingdom,2018-05,2.3
K02000001,United Kingdom,2018-06,2.3
K02000001,United Kingdom,2018-07,2.3
K02000001,United Kingdom,2018-08,2.4
K02000001,United Kingdom,2018-09,2.2
K02000001,United Kingdom,2018-10,2.2
K02000001,United Kingdom,2018-11,2.2
K02000001,United Kingdom,2018-12,2.0
K02000001,United Kingdom,2019-01,1.8
K02000001,United Kingdom,2019-02,1.8
K02000001,United Kingdom,2019-03,1.8
K02000001,United Kingdom,2019-04,2.0
K02000001,United Kingdom,2019-05,1.9
K02000001,United Kingdom,2019-06,1.9
K02000001,United Kingdom,2019-07,2.0
K02000001,United Kingdom,2019-08,1.7
K02000001,United Kingdom,2019-09,1.7
K02000001,United Kingdom,2019-10,1.5
K02000001,United Kingdom,2019-11,1.5
K02000001,United Kingdom,2019-12,1.4
K02000001,United Kingdom,2020-01,1.8
K02000001,United Kingdom,2020-02,1.7
K02000001,United Kingdom,2020-03,1.5
K02000001,United Kingdom,2020-04,0.9
K02000001,United Kingdom,2020-05,0.7
K02000001,United Kingdom,2020-06,0.8
K02000001,United Kingdom,2020-07,1.1
K02000001,United Kingdom,2020-08,0.5
K02000001,United Kingdom,2020-09,0.7
K02000001,United Kingdom,2020-10,0.9
K02000001,United Kingdom,2020-11,0.6
K02000001,United Kingdom,2020-12,0.8
K02000001,United Kingdom,2021-01,0.9
K02000001,United Kingdom,2021-02,0.7
K02000001,United Kingdom,2021-03,1.0
K02000001,United Kingdom,2021-04,1.6
K02000001,United Kingdom,2021-05,2.1
K02000001,United Kingdom,2021-06,2.4
K02000001,United Kingdom,2021-07,2.1
K02000001,United Kingdom,2021-08,3.0
K02000001,United Kingdom,2021-09,2.9
K02000001,United Kingdom,2021-10,3.8
K02000001,United Kingdom,2021-11,4.6
K02000001,United Kingdom,2021-12,4.8
K02000001,United Kingdom,2022-01,4.9
K02000001,United Kingdom,2022-02,5.5
K02000001,United Kingdom,2022-03,6.2
K02000001,United Kingdom,2022-04,7.8
K02000001,United Kingdom,2022-05,7.9
K02000001,United Kingdom,2022-06,8.2
K02000001,United Kingdom,2022-07,8.8
K02000001,United Kingdom,2022-08,8.6
K02000001,United Kingdom,2022-09,8.8
K02000001,United Kingdom,2022-10,9.6
K02000001,United Kingdom,2022-11,9.3
K02000001,United Kingdom,2022-12,9.2
K02000001,United Kingdom,2023-01,8.8
K02000001,United Kingdom,2023-02,9.2
K02000001,United Kingdom,2023-03,8.9
K02000001,United Kingdom,2023-04,7.8
K02000001,United Kingdom,2023-05,7.9
K02000001,United Kingdom,2023-06,7.3
K02000001,United Kingdom,2023-07,6.4
K02000001,United Kingdom,2023-08,6.3
K02000001,United Kingdom,2023-09,6.3
K02000001,United Kingdom,2023-10,4.7
