AREACD,Period,Value,Measure,Unit,Lower Confidence Interval (95%),Upper Confidence Interval (95%),Observation Status
e09000011,2022-09,100.0,Percentage,%,,,
e09000015,2022-09,100.0,Percentage,%,,,
e09000016,2022-09,100.0,Percentage,%,,,
e09000017,2022-09,100.0,Percentage,%,,,
e09000018,2022-09,100.0,Percentage,%,,,
e09000021,2022-09,100.0,Percentage,%,,,
e09000024,2022-09,100.0,Percentage,%,,,
e09000026,2022-09,100.0,Percentage,%,,,
e09000027,2022-09,100.0,Percentage,%,,,
e09000029,2022-09,100.0,Percentage,%,,,
e09000031,2022-09,100.0,Percentage,%,,,
e06000036,2022-09,99.99,Percentage,%,,,
e06000043,2022-09,100.0,Percentage,%,,,
e06000060,2022-09,99.69,Percentage,%,,,
e06000046,2022-09,99.92,Percentage,%,,,
e06000035,2022-09,99.78,Percentage,%,,,
e06000042,2022-09,100.0,Percentage,%,,,
e06000044,2022-09,100.0,Percentage,%,,,
e06000038,2022-09,100.0,Percentage,%,,,
e06000039,2022-09,100.0,Percentage,%,,,
e06000045,2022-09,100.0,Percentage,%,,,
e06000037,2022-09,99.81,Percentage,%,,,
e06000040,2022-09,100.0,Percentage,%,,,
e06000041,2022-09,100.0,Percentage,%,,,
e07000061,2022-09,99.86,Percentage,%,,,
e07000062,2022-09,99.63,Percentage,%,,,
e07000063,2022-09,99.91,Percentage,%,,,
e07000064,2022-09,99.19,Percentage,%,,,
e07000065,2022-09,99.66,Percentage,%,,,
e07000084,2022-09,99.86,Percentage,%,,,
e07000085,2022-09,99.8,Percentage,%,,,
e07000086,2022-09,100.0,Percentage,%,,,
e07000087,2022-09,100.0,Percentage,%,,,
e07000088,2022-09,100.0,Percentage,%,,,
e07000089,2022-09,100.0,Percentage,%,,,
e07000090,2022-09,100.0,Percentage,%,,,
e07000091,2022-09,98.66,Percentage,%,,,
e07000092,2022-09,100.0,Percentage,%,,,
e07000093,2022-09,99.56,Percentage,%,,,
e07000094,2022-09,98.89,Percentage,%,,,
e07000105,2022-09,99.73,Percentage,%,,,
e07000106,2022-09,99.89,Percentage,%,,,
e07000107,2022-09,100.0,Percentage,%,,,
e07000108,2022-09,99.97,Percentage,%,,,
e07000112,2022-09,99.41,Percentage,%,,,
e07000109,2022-09,99.07,Percentage,%,,,
e07000110,2022-09,99.05,Percentage,%,,,
e07000111,2022-09,99.51,Percentage,%,,,
e07000113,2022-09,99.61,Percentage,%,,,
e07000114,2022-09,100.0,Percentage,%,,,
e07000115,2022-09,99.9,Percentage,%,,,
e07000116,2022-09,99.89,Percentage,%,,,
e07000177,2022-09,100.0,Percentage,%,,,
e07000178,2022-09,100.0,Percentage,%,,,
e07000179,2022-09,99.23,Percentage,%,,,
e07000180,2022-09,100.0,Percentage,%,,,
e07000181,2022-09,99.77,Percentage,%,,,
e07000207,2022-09,100.0,Percentage,%,,,
e07000208,2022-09,100.0,Percentage,%,,,
e07000209,2022-09,99.28,Percentage,%,,,
e07000210,2022-09,98.37,Percentage,%,,,
e07000211,2022-09,100.0,Percentage,%,,,
e07000212,2022-09,100.0,Percentage,%,,,
e07000213,2022-09,100.0,Percentage,%,,,
e07000214,2022-09,100.0,Percentage,%,,,
e07000215,2022-09,100.0,Percentage,%,,,
e07000216,2022-09,99.22,Percentage,%,,,
e07000217,2022-09,100.0,Percentage,%,,,
e07000223,2022-09,99.65,Percentage,%,,,
e07000224,2022-09,99.13,Percentage,%,,,
e07000225,2022-09,98.9,Percentage,%,,,
e07000226,2022-09,100.0,Percentage,%,,,
e07000227,2022-09,99.74,Percentage,%,,,
e07000228,2022-09,99.22,Percentage,%,,,
e07000229,2022-09,100.0,Percentage,%,,,
e06000022,2022-09,99.48,Percentage,%,,,
e06000058,2022-09,100.0,Percentage,%,,,
e06000023,2022-09,100.0,Percentage,%,,,
e06000052,2022-09,98.49,Percentage,%,,,
e06000059,2022-09,99.39,Percentage,%,,,
e06000053,2022-09,98.94,Percentage,%,,,
e06000024,2022-09,99.9,Percentage,%,,,
e06000026,2022-09,100.0,Percentage,%,,,
e06000025,2022-09,99.91,Percentage,%,,,
e06000030,2022-09,100.0,Percentage,%,,,
e06000027,2022-09,100.0,Percentage,%,,,
e06000054,2022-09,98.67,Percentage,%,,,
e07000040,2022-09,99.09,Percentage,%,,,
e07000041,2022-09,100.0,Percentage,%,,,
e07000042,2022-09,97.18,Percentage,%,,,
e07000043,2022-09,96.33,Percentage,%,,,
e07000044,2022-09,96.47,Percentage,%,,,
e07000045,2022-09,93.59,Percentage,%,,,
e07000046,2022-09,97.85,Percentage,%,,,
e07000047,2022-09,93.21,Percentage,%,,,
e07000078,2022-09,99.96,Percentage,%,,,
e07000079,2022-09,99.09,Percentage,%,,,
e07000080,2022-09,98.65,Percentage,%,,,
e07000081,2022-09,100.0,Percentage,%,,,
e07000082,2022-09,98.94,Percentage,%,,,
e07000083,2022-09,99.67,Percentage,%,,,
e07000187,2022-09,99.87,Percentage,%,,,
e07000188,2022-09,98.83,Percentage,%,,,
e07000246,2022-09,92.48,Percentage,%,,,
e07000189,2022-09,99.75,Percentage,%,,,
w06000001,2022-09,99.66,Percentage,%,,,
w06000002,2022-09,80.93,Percentage,%,,,
w06000003,2022-09,88.67,Percentage,%,,,
w06000004,2022-09,95.21,Percentage,%,,,
w06000005,2022-09,99.8,Percentage,%,,,
w06000006,2022-09,91.33,Percentage,%,,,
w06000023,2022-09,84.99,Percentage,%,,,
w06000008,2022-09,83.82,Percentage,%,,,
w06000009,2022-09,98.52,Percentage,%,,,
w06000010,2022-09,94.49,Percentage,%,,,
w06000011,2022-09,98.17,Percentage,%,,,
w06000012,2022-09,95.54,Percentage,%,,,
w06000013,2022-09,99.51,Percentage,%,,,
w06000014,2022-09,99.7,Percentage,%,,,
w06000015,2022-09,100.0,Percentage,%,,,
w06000016,2022-09,96.91,Percentage,%,,,
w06000024,2022-09,97.25,Percentage,%,,,
w06000018,2022-09,98.7,Percentage,%,,,
w06000019,2022-09,99.84,Percentage,%,,,
w06000020,2022-09,98.5,Percentage,%,,,
w06000021,2022-09,93.15,Percentage,%,,,
w06000022,2022-09,100.0,Percentage,%,,,
s12000033,2022-09,99.99,Percentage,%,,,
s12000034,2022-09,91.96,Percentage,%,,,
s12000041,2022-09,76.09,Percentage,%,,,
s12000035,2022-09,80.4,Percentage,%,,,
s12000036,2022-09,99.98,Percentage,%,,,
s12000005,2022-09,97.21,Percentage,%,,,
s12000006,2022-09,91.8,Percentage,%,,,
s12000042,2022-09,100.0,Percentage,%,,,
s12000008,2022-09,90.75,Percentage,%,,,
s12000045,2022-09,97.32,Percentage,%,,,
s12000010,2022-09,92.93,Percentage,%,,,
s12000011,2022-09,99.15,Percentage,%,,,
s12000014,2022-09,99.81,Percentage,%,,,
s12000047,2022-09,99.9,Percentage,%,,,
s12000049,2022-09,100.0,Percentage,%,,,
s12000017,2022-09,75.0,Percentage,%,,,
s12000018,2022-09,97.37,Percentage,%,,,
s12000019,2022-09,98.0,Percentage,%,,,
s12000020,2022-09,89.6,Percentage,%,,,
s12000013,2022-09,88.77,Percentage,%,,,
s12000021,2022-09,91.24,Percentage,%,,,
s12000050,2022-09,99.69,Percentage,%,,,
s12000023,2022-09,97.8,Percentage,%,,,
s12000048,2022-09,79.19,Percentage,%,,,
s12000038,2022-09,99.07,Percentage,%,,,
s12000026,2022-09,85.43,Percentage,%,,,
s12000027,2022-09,97.3,Percentage,%,,,
s12000028,2022-09,86.46,Percentage,%,,,
s12000029,2022-09,93.94,Percentage,%,,,
s12000030,2022-09,79.21,Percentage,%,,,
s12000039,2022-09,97.14,Percentage,%,,,
s12000040,2022-09,99.8,Percentage,%,,,
n09000001,2022-09,99.94,Percentage,%,,,
n09000002,2022-09,99.36,Percentage,%,,,
n09000003,2022-09,100.0,Percentage,%,,,
n09000004,2022-09,95.52,Percentage,%,,,
n09000005,2022-09,91.55,Percentage,%,,,
n09000006,2022-09,97.32,Percentage,%,,,
n09000007,2022-09,99.99,Percentage,%,,,
n09000008,2022-09,97.82,Percentage,%,,,
n09000009,2022-09,99.26,Percentage,%,,,
n09000010,2022-09,94.19,Percentage,%,,,
n09000011,2022-09,99.99,Percentage,%,,,
